,id_column,annotate_text,label,annotated_at
0,18044,"<b>Raw:</b> John
Pallelai bedokwalk no49.miss lohahhuat stubborn john patient even when u make mistakes.<br><b>Clean</b>: john pallelai bedokwalk no49 miss lohahhuat stubborn john patient even when u make mistakes",,2022-11-18 13:20:53
1,14211,<b>Raw:</b> 没事不要换passport！Long Q like vaccination center… 25-05-2022 #cstar @ Jabatan Imigresen Malaysia Utc Johor https://t.co/hQ1nO269PY<br><b>Clean</b>: passportlong q like vaccination center 25 05 2022 jabatan imigresen malaysia utc johor,non_standard_english,2022-11-18 13:21:09
2,18549,"<b>Raw:</b> John
Pallelai bedokwalk no 49.misslohahhuat digrace u assess to information .u can charge protection data act.<br><b>Clean</b>: john pallelai bedokwalk no 49 misslohahhuat digrace u assess to information u can charge protection data act",,2022-11-18 13:21:12
3,17947,"<b>Raw:</b> John
Pallelai bedokwalk bo49 misslohahhuat misskitty u at my photo can be use evidence in court today is a sfa day misslohahuat in prediction is wrong. https://t.co/9JAFCBgNyZ<br><b>Clean</b>: john pallelai bedokwalk bo49 misslohahhuat misskitty u at my photo can be use evidence in court today is a sfa day misslohahuat in prediction is wrong",,2022-11-18 13:21:15
4,21112,"<b>Raw:</b> Lepas 4 hr vacay, rasa janggal ye hr ni nak berkerja semula 🤣<br><b>Clean</b>: lepas 4 hr vacay rasa janggal ye hr ni nak berkerja semula",not_english,2022-11-18 13:21:18
5,8855,"<b>Raw:</b> Nasasabik kaming makilala ka! David and @Alfredsunn will be seeing you FACE-TO-FACE in Philippines this coming August 2022 at the Raikan Fancon! 

@RaikantopeniPHL 
#RaikanFanConGameOn https://t.co/dEVjgcdIw4<br><b>Clean</b>: nasasabik kaming makilala ka david and will be seeing you face to face in philippines this coming august 2022 at the raikan fancon",code-switched,2022-11-18 13:21:25
6,21169,"<b>Raw:</b> John
Pallelai bedokwalk no49.misslohahhuat stubborness u dont believe in the word of god.yet hearing as well as having intectual https://t.co/4pO54NdRRh is there that we engage with god through his word personnally ecounter him.misskitty dont beleive why u say dhamma.buddha teach<br><b>Clean</b>: john pallelai bedokwalk no49 misslohahhuat stubborness u dont believe in the word of god yet hearing as well as having intectual is there that we engage with god through his word personnally ecounter him misskitty dont beleive why u say dhamma buddha teach",,2022-11-18 13:21:28
7,3418,"<b>Raw:</b> Hahah american/indian warrior/hunter means. Pains shape me to be a warrior/hunter
Peony flowers sa taas. For the love of nature.🤩🤗 
Pa book naman ta. Idol ning artist ko.buot na,humble pa. https://t.co/SK2F2JIQOR<br><b>Clean</b>: hahah americanindian warriorhunter means pains shape me to be a warriorhunter peony flowers sa taas for the love of nature pa book naman ta idol ning artist ko buot nahumble pa",code-switched,2022-11-18 13:21:51
8,18379,"<b>Raw:</b> John
Pallelai bedokwalk no49.misslohahhuat.misskitty they mountain man.they living in uncivilised world .inaddition living in prison .they any how possesse meditation on publics.<br><b>Clean</b>: john pallelai bedokwalk no49 misslohahhuat misskitty they mountain man they living in uncivilised world inaddition living in prison they any how possesse meditation on publics",,2022-11-18 13:21:54
9,13403,"<b>Raw:</b> John
Pallelai bedokwalk no 49.misskitty  monks  he is using meditation.he control fom faraway at the tenple.whatever he do inside u body meditation can be done.u lefthand.and teeth verypainful.misslohahhuat also do https://t.co/o39cGKImpE we use method to https://t.co/9pa9Jm4INc<br><b>Clean</b>: john pallelai bedokwalk no 49 misskitty monks he is using meditation he control fom faraway at the tenple whatever he do inside u body meditation can be done u lefthand and teeth verypainful misslohahhuat also do we use method to",,2022-11-18 13:21:56
